Ticker,Sector
A,Healthcare
AABA,Unknown
AAL,Industrials
AAMRQ,Unknown
AAP,Consumer Cyclical
AAPL,Technology
ABBV,Healthcare
ABC,Unknown
ABI,Unknown
ABKFQ,Unknown
ABMD,Unknown
ABNB,Consumer Cyclical
ABS,Unknown
ABT,Healthcare
ABX,Unknown
ACAS,Unknown
ACGL,Financial Services
ACKH,Unknown
ACN,Technology
ACS,Unknown
ACV,Financial Services
ADBE,Technology
ADCT,Healthcare
ADI,Technology
ADM,Consumer Defensive
ADP,Technology
ADS,Unknown
ADSK,Technology
ADT,Industrials
AEE,Utilities
AEP,Utilities
AES,Utilities
AET,Unknown
AFL,Financial Services
AFS.A,Unknown
AGC,Unknown
AGN,Unknown
AHM,Unknown
AIG,Financial Services
AIT,Industrials
AIV,Real Estate
AIZ,Financial Services
AJG,Financial Services
AKAM,Technology
AKS,Unknown
AL,Industrials
ALB,Basic Materials
ALGN,Healthcare
ALK,Industrials
ALL,Financial Services
ALLE,Industrials
ALTR,Technology
ALXN,Unknown
AM,Energy
AMAT,Technology
AMCC,Unknown
AMCR,Consumer Cyclical
AMD,Technology
AME,Industrials
AMG,Financial Services
AMGN,Healthcare
AMH,Real Estate
AMP,Financial Services
AMT,Real Estate
AMTM,Industrials
AMZN,Consumer Cyclical
AN,Consumer Cyclical
ANDV,Unknown
ANDW,Unknown
ANET,Technology
ANF,Consumer Cyclical
ANRZQ,Unknown
ANSS,Technology
ANTM,Unknown
ANV,Unknown
AON,Financial Services
AOS,Industrials
APA,Energy
APC,Unknown
APCC,Unknown
APD,Basic Materials
APH,Technology
APO,Financial Services
APOL,Unknown
APTV,Consumer Cyclical
AR,Energy
ARC,Unknown
ARE,Real Estate
ARG,Unknown
ARNC,Unknown
AS,Consumer Cyclical
ASC,Industrials
ASH,Basic Materials
ASN,Unknown
ASND,Healthcare
ASO,Consumer Cyclical
AT,Unknown
ATGE,Consumer Defensive
ATI,Industrials
ATO,Utilities
ATVI,Unknown
AV,Unknown
AVB,Real Estate
AVGO,Technology
AVP,Unknown
AVY,Consumer Cyclical
AW,Unknown
AWE,Unknown
AWK,Utilities
AXON,Industrials
AXP,Financial Services
AYE,Unknown
AYI,Industrials
AZA.A,Unknown
AZO,Consumer Cyclical
BA,Industrials
BAC,Financial Services
BALL,Consumer Cyclical
BAX,Healthcare
BAY,Unknown
BBBY,Unknown
BBI,Unknown
BBT,Unknown
BBWI,Consumer Cyclical
BBY,Consumer Cyclical
BC,Consumer Cyclical
BCO,Industrials
BCR,Unknown
BDK,Unknown
BDX,Healthcare
BEAM,Healthcare
BEN,Financial Services
BEV,Unknown
BF.B,Unknown
BFI,Consumer Cyclical
BFO,Unknown
BG,Consumer Defensive
BGEN,Unknown
BGG,Unknown
BHF,Financial Services
BHGE,Unknown
BHMSQ,Unknown
BIG,Unknown
BIIB,Healthcare
BIO,Healthcare
BJS,Unknown
BK,Financial Services
BKB,Unknown
BKNG,Consumer Cyclical
BKR,Energy
BLDR,Industrials
BLK,Financial Services
BLL,Unknown
BLS,Unknown
BLY,Unknown
BMC,Unknown
BMET,Unknown
BMGCA,Unknown
BMS,Unknown
BMY,Healthcare
BNI,Unknown
BNL,Real Estate
BOAT,Unknown
BOL,Unknown
BR,Technology
BRCM,Unknown
BRK.B,Unknown
BRL,Unknown
BRO,Financial Services
BSC,Unknown
BSX,Healthcare
BT,Unknown
BTUUQ,Unknown
BUD,Consumer Defensive
BVSN,Unknown
BWA,Consumer Cyclical
BX,Financial Services
BXLT,Unknown
BXP,Real Estate
C,Financial Services
CA,Unknown
CAG,Consumer Defensive
CAH,Healthcare
CAL,Consumer Cyclical
CAM,Unknown
CAR,Industrials
CARR,Industrials
CAT,Industrials
CB,Financial Services
CBB,Unknown
CBE,Unknown
CBH,Unknown
CBOE,Financial Services
CBRE,Real Estate
CBS,Unknown
CBSS,Unknown
CCB,Financial Services
CCE,Unknown
CCEP,Consumer Defensive
CCI,Real Estate
CCK,Consumer Cyclical
CCL,Consumer Cyclical
CCTYQ,Unknown
CCU,Consumer Defensive
CDAY,Unknown
CDNS,Technology
CDW,Technology
CE,Basic Materials
CEG,Utilities
CELG,Unknown
CEN,Unknown
CEPH,Unknown
CERN,Unknown
CF,Basic Materials
CFC,Unknown
CFG,Financial Services
CFL,Unknown
CFN,Unknown
CG,Financial Services
CGP,Unknown
CHA,Unknown
CHD,Consumer Defensive
CHIR,Unknown
CHK,Unknown
CHRS,Healthcare
CHRW,Industrials
CHTR,Communication Services
CI,Healthcare
CIEN,Technology
CIN,Unknown
CINF,Financial Services
CIT.A,Unknown
CITGQ,Unknown
CL,Consumer Defensive
CLF,Basic Materials
CLX,Consumer Defensive
CMA,Financial Services
CMB,Unknown
CMCSA,Communication Services
CMCSK,Unknown
CME,Financial Services
CMG,Consumer Cyclical
CMI,Industrials
CMS,Utilities
CMVT,Unknown
CMX,Unknown
CNC,Healthcare
CNG,Unknown
CNP,Utilities
CNW,Unknown
CNX,Energy
CNXT,Unknown
COC.B,Unknown
COF,Financial Services
COG,Unknown
COL,Unknown
COMS,Technology
COO,Healthcare
COP,Energy
COR,Healthcare
COST,Consumer Defensive
COTY,Consumer Defensive
COV,Unknown
CPAY,Technology
CPB,Consumer Defensive
CPGX,Unknown
CPNLQ,Unknown
CPQ,Unknown
CPRI,Consumer Cyclical
CPRT,Industrials
CPT,Real Estate
CPWR,Utilities
CR,Industrials
CRL,Healthcare
CRM,Technology
CRR,Unknown
CRWD,Technology
CSCO,Technology
CSE,Unknown
CSGP,Real Estate
CSR,Real Estate
CSRA,Unknown
CSX,Industrials
CTAS,Industrials
CTB,Unknown
CTL,Unknown
CTLT,Unknown
CTRA,Energy
CTSH,Technology
CTVA,Basic Materials
CTX,Unknown
CTXS,Unknown
CVC,Unknown
CVG,Unknown
CVH,Unknown
CVS,Healthcare
CVX,Energy
CXO,Unknown
CYM,Unknown
CYR,Unknown
CZR,Consumer Cyclical
D,Utilities
DAL,Industrials
DALRQ,Unknown
DAY,Technology
DCNAQ,Unknown
DD,Basic Materials
DDR,Unknown
DDS,Consumer Cyclical
DE,Industrials
DEC,Energy
DECK,Consumer Cyclical
DELL,Technology
DF,Unknown
DFS,Financial Services
DG,Consumer Defensive
DGN,Unknown
DGX,Healthcare
DHI,Consumer Cyclical
DHR,Healthcare
DI,Unknown
DIGI,Communication Services
DIS,Communication Services
DISCA,Unknown
DISCK,Unknown
DISH,Unknown
DJ,Unknown
DLR,Real Estate
DLTR,Consumer Defensive
DLX,Industrials
DNB,Financial Services
DNR,Unknown
DO,Unknown
DOC,Real Estate
DOV,Industrials
DOW,Basic Materials
DPHIQ,Unknown
DPZ,Consumer Cyclical
DRE,Unknown
DRI,Consumer Cyclical
DTE,Utilities
DTV,Unknown
DUK,Utilities
DVA,Healthcare
DVN,Energy
DWD,Unknown
DWDP,Unknown
DXC,Technology
DXCM,Healthcare
DYN,Healthcare
EA,Communication Services
EBAY,Consumer Cyclical
EC,Energy
ECH,Unknown
ECL,Basic Materials
ECO,Industrials
ED,Utilities
EDS,Unknown
EFU,Unknown
EFX,Industrials
EG,Financial Services
EHC,Healthcare
EIX,Utilities
EKDKQ,Unknown
EL,Consumer Defensive
ELV,Healthcare
EMC,Unknown
EMN,Basic Materials
EMR,Industrials
ENDP,Unknown
ENPH,Technology
ENRNQ,Unknown
ENS,Industrials
EOG,Energy
EOP,Unknown
EP,Energy
EPAM,Technology
EQ,Healthcare
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ERIE,Financial Services
ES,Utilities
ESRX,Unknown
ESS,Real Estate
ESV,Unknown
ETFC,Unknown
ETN,Industrials
ETR,Utilities
ETS,Unknown
ETSY,Consumer Cyclical
EVHC,Unknown
EVRG,Utilities
EW,Healthcare
EXC,Utilities
EXPD,Industrials
EXPE,Consumer Cyclical
EXR,Real Estate
F,Consumer Cyclical
FANG,Energy
FAST,Industrials
FB,Unknown
FBF,Unknown
FBHS,Unknown
FBO,Unknown
FCN,Industrials
FCPT,Real Estate
FCX,Basic Materials
FDC,Unknown
FDO,Unknown
FDS,Financial Services
FDX,Industrials
FE,Utilities
FFIV,Technology
FG,Financial Services
FHN,Financial Services
FI,Technology
FICO,Technology
FII,Unknown
FIS,Technology
FISV,Unknown
FITB,Financial Services
FJ,Unknown
FL,Consumer Cyclical
FLIR,Unknown
FLMIQ,Unknown
FLR,Industrials
FLS,Industrials
FLT,Unknown
FLTWQ,Unknown
FMC,Basic Materials
FMCC,Financial Services
FMY,Financial Services
FNMA,Financial Services
FOSL,Consumer Cyclical
FOX,Communication Services
FOXA,Communication Services
FPC,Unknown
FRC,Unknown
FRO,Energy
FRT,Real Estate
FRX,Unknown
FSH,Unknown
FSL,Unknown
FSLR,Technology
FTI,Energy
FTL.A,Unknown
FTNT,Technology
FTR,Unknown
FTV,Technology
FWLT,Unknown
G,Technology
GAPTQ,Unknown
GAS,Unknown
GD,Industrials
GDDY,Technology
GDT,Unknown
GDW,Unknown
GE,Industrials
GEHC,Healthcare
GEN,Technology
GENZ,Unknown
GEV,Utilities
GFS.A,Unknown
GGP,Unknown
GHC,Consumer Defensive
GIDL,Unknown
GILD,Healthcare
GIS,Consumer Defensive
GL,Financial Services
GLD,Unknown
GLK,Unknown
GLW,Technology
GM,Consumer Cyclical
GMCR,Unknown
GME,Consumer Cyclical
GNRC,Industrials
GNT,Financial Services
GNW,Financial Services
GOOG,Communication Services
GOOGL,Communication Services
GP,Industrials
GPC,Consumer Cyclical
GPN,Industrials
GPS,Unknown
GPU,Unknown
GR,Unknown
GRA,Unknown
GRMN,Technology
GRN,Unknown
GS,Financial Services
GSX,Unknown
GT,Consumer Cyclical
GTE,Energy
GTW,Unknown
GWF,Unknown
GWW,Industrials
GX,Unknown
H,Consumer Cyclical
HAL,Energy
HAR,Unknown
HAS,Consumer Cyclical
HBAN,Financial Services
HBI,Consumer Cyclical
HBOC,Unknown
HCA,Healthcare
HCBK,Unknown
HCP,Technology
HCR,Unknown
HD,Consumer Cyclical
HDLM,Unknown
HES,Energy
HET,Unknown
HFC,Unknown
HFS,Unknown
HI,Industrials
HIG,Financial Services
HII,Industrials
HLT,Consumer Cyclical
HM,Unknown
HMA,Unknown
HNZ,Unknown
HOG,Consumer Cyclical
HOLX,Healthcare
HON,Industrials
HOT,Unknown
HP,Energy
HPC,Unknown
HPE,Technology
HPH,Financial Services
HPQ,Technology
HRB,Consumer Cyclical
HRL,Consumer Defensive
HRS,Unknown
HSH,Unknown
HSIC,Healthcare
HSP,Unknown
HST,Real Estate
HSY,Consumer Defensive
HUBB,Industrials
HUM,Healthcare
HWM,Industrials
I,Unknown
IAC,Communication Services
IBM,Technology
ICE,Financial Services
IDXX,Healthcare
IEX,Industrials
IFF,Basic Materials
IGT,Consumer Cyclical
IKN,Unknown
ILMN,Healthcare
IMNX,Unknown
INCLF,Unknown
INCY,Healthcare
INFO,Unknown
INGR,Consumer Defensive
INTC,Technology
INTU,Technology
INVH,Real Estate
IP,Consumer Cyclical
IPG,Communication Services
IPGP,Technology
IQV,Healthcare
IR,Industrials
IRM,Real Estate
ISRG,Healthcare
IT,Technology
ITT,Industrials
ITW,Industrials
IVZ,Financial Services
J,Industrials
JAVA,Unknown
JBHT,Industrials
JBL,Technology
JCI,Industrials
JCP,Unknown
JEC,Unknown
JEF,Financial Services
JH,Unknown
JHF,Unknown
JKHY,Technology
JNJ,Healthcare
JNPR,Technology
JNS,Unknown
JNY,Unknown
JOS,Unknown
JOY,Unknown
JP,Unknown
JPM,Financial Services
JWN,Consumer Cyclical
K,Consumer Defensive
KATE,Unknown
KBH,Consumer Cyclical
KDP,Consumer Defensive
KEY,Financial Services
KEYS,Technology
KG,Unknown
KHC,Consumer Defensive
KIM,Real Estate
KKR,Financial Services
KLAC,Technology
KM,Unknown
KMB,Consumer Defensive
KMG,Unknown
KMI,Energy
KMX,Consumer Cyclical
KO,Consumer Defensive
KORS,Unknown
KR,Consumer Defensive
KRB,Unknown
KRFT,Unknown
KRI,Unknown
KSE,Unknown
KSS,Consumer Cyclical
KSU,Unknown
KVUE,Consumer Defensive
KWP,Unknown
L,Financial Services
LB,Energy
LDG,Unknown
LDOS,Technology
LDW.B,Unknown
LEG,Consumer Cyclical
LEHMQ,Unknown
LEN,Consumer Cyclical
LH,Healthcare
LHX,Industrials
LIFE,Unknown
LII,Industrials
LIN,Basic Materials
LKQ,Consumer Cyclical
LLL,Unknown
LLTC,Unknown
LLX,Unknown
LLY,Healthcare
LM,Unknown
LMT,Industrials
LNC,Financial Services
LNT,Utilities
LO,Unknown
LOR,Unknown
LOW,Consumer Cyclical
LPX,Industrials
LRCX,Technology
LSI,Unknown
LU,Financial Services
LUB,Unknown
LULU,Consumer Cyclical
LUMN,Communication Services
LUV,Industrials
LVLT,Unknown
LVS,Consumer Cyclical
LW,Consumer Defensive
LXK,Unknown
LYB,Basic Materials
LYV,Communication Services
M,Consumer Cyclical
MA,Financial Services
MAA,Real Estate
MAC,Real Estate
MAR,Consumer Cyclical
MAS,Industrials
MAT,Consumer Cyclical
MAY,Unknown
MBI,Financial Services
MCD,Consumer Cyclical
MCHP,Technology
MCIC,Healthcare
MCK,Healthcare
MCO,Financial Services
MD,Healthcare
MDLZ,Consumer Defensive
MDP,Unknown
MDR,Unknown
MDT,Healthcare
MEA,Unknown
MEDI,Unknown
MEE,Unknown
MEL,Unknown
MER,Unknown
MERQ,Unknown
MET,Financial Services
META,Communication Services
MFE,Unknown
MGM,Consumer Cyclical
MHK,Consumer Cyclical
MHS,Unknown
MI,Consumer Cyclical
MII,Unknown
MIL,Unknown
MIR,Industrials
MJN,Unknown
MKC,Consumer Defensive
MKG,Unknown
MKTX,Financial Services
MLM,Basic Materials
MMC,Financial Services
MMI,Real Estate
MMM,Industrials
MNK,Unknown
MNR,Energy
MNST,Consumer Defensive
MO,Consumer Defensive
MOB,Technology
MOH,Healthcare
MOLX,Unknown
MON,Unknown
MOS,Basic Materials
MPC,Energy
MPWR,Technology
MRK,Healthcare
MRNA,Healthcare
MRO,Unknown
MS,Financial Services
MSCI,Financial Services
MSFT,Technology
MSI,Technology
MST,Unknown
MTB,Financial Services
MTCH,Communication Services
MTD,Healthcare
MTG,Financial Services
MTL,Unknown
MTLQQ,Unknown
MTW,Industrials
MU,Technology
MUR,Energy
MWI,Unknown
MWV,Unknown
MWW,Unknown
MXIM,Unknown
MYG,Unknown
MYL,Unknown
MZIAQ,Unknown
NAE,Unknown
NAV,Unknown
NAVI,Financial Services
NBL,Unknown
NBR,Energy
NC,Energy
NCC,Unknown
NCE,Unknown
NCLH,Consumer Cyclical
NCR,Unknown
NDAQ,Financial Services
NDSN,Industrials
NE,Energy
NEE,Utilities
NEM,Basic Materials
NFB,Unknown
NFLX,Communication Services
NFX,Unknown
NGH,Unknown
NI,Utilities
NKE,Consumer Cyclical
NKTR,Healthcare
NLC,Unknown
NLOK,Unknown
NLSN,Unknown
NLV,Unknown
NMK,Unknown
NOC,Industrials
NOV,Energy
NOVL,Unknown
NOW,Technology
NRG,Utilities
NRTLQ,Unknown
NSC,Industrials
NSI,Unknown
NSM,Unknown
NTAP,Technology
NTRS,Financial Services
NUE,Basic Materials
NVDA,Technology
NVLS,Unknown
NVR,Consumer Cyclical
NWL,Consumer Defensive
NWS,Communication Services
NWSA,Communication Services
NXPI,Technology
NXTL,Unknown
NYN,Unknown
NYT,Communication Services
NYX,Unknown
O,Real Estate
OAT,Unknown
ODFL,Industrials
ODP,Consumer Cyclical
OGN,Healthcare
OI,Consumer Cyclical
OK,Unknown
OKE,Energy
OM,Healthcare
OMC,Communication Services
OMX,Unknown
ON,Technology
ONE,Unknown
ORCL,Technology
ORLY,Consumer Cyclical
ORX,Unknown
OTIS,Industrials
OWENQ,Unknown
OXY,Energy
PAC,Industrials
PALM,Unknown
PANW,Technology
PARA,Communication Services
PAS,Unknown
PAYC,Technology
PAYX,Technology
PBCT,Unknown
PBG,Unknown
PBI,Industrials
PBY,Unknown
PCAR,Industrials
PCG,Utilities
PCH,Real Estate
PCL,Unknown
PCP,Unknown
PCS,Unknown
PD,Technology
PDCO,Healthcare
PDG,Unknown
PEAK,Unknown
PEG,Utilities
PEL,Unknown
PENN,Consumer Cyclical
PEP,Consumer Defensive
PET,Technology
PETM,Unknown
PFE,Healthcare
PFG,Financial Services
PG,Consumer Defensive
PGL,Unknown
PGN,Unknown
PGR,Financial Services
PH,Industrials
PHA,Unknown
PHB,Unknown
PHM,Consumer Cyclical
PKG,Consumer Cyclical
PKI,Unknown
PLD,Real Estate
PLL,Basic Materials
PLTR,Technology
PM,Consumer Defensive
PMCS,Unknown
PMI,Unknown
PNC,Financial Services
PNR,Industrials
PNU,Unknown
PNW,Utilities
PODD,Healthcare
POM,Unknown
POOL,Industrials
PPG,Basic Materials
PPL,Utilities
PPW,Unknown
PRD,Unknown
PRGO,Healthcare
PRU,Financial Services
PSA,Real Estate
PSFT,Unknown
PSX,Energy
PTC,Technology
PTV,Unknown
PVH,Consumer Cyclical
PVN,Unknown
PVT,Unknown
PWER,Unknown
PWJ,Unknown
PWR,Industrials
PX,Financial Services
PXD,Unknown
PYPL,Financial Services
PZE,Unknown
Q,Unknown
QCOM,Technology
QEP,Unknown
QLGC,Unknown
QRVO,Technology
QTRN,Unknown
R,Industrials
RAD,Unknown
RAI,Unknown
RAL,Unknown
RATL,Unknown
RBD,Unknown
RBK,Unknown
RCL,Consumer Cyclical
RDC,Unknown
RDS.A,Unknown
RE,Unknown
REG,Real Estate
REGN,Healthcare
RF,Financial Services
RHI,Industrials
RHT,Unknown
RIG,Energy
RJF,Financial Services
RL,Consumer Cyclical
RLM,Unknown
RMD,Healthcare
RML,Unknown
RNB,Unknown
ROH,Unknown
ROK,Industrials
ROL,Consumer Cyclical
ROP,Technology
ROST,Consumer Cyclical
RRC,Energy
RRD,Unknown
RSG,Industrials
RSHCQ,Unknown
RTN,Unknown
RTX,Industrials
RVTY,Healthcare
RX,Unknown
RYAN,Financial Services
RYC,Unknown
RYI,Industrials
S,Technology
SAF,Unknown
SAI,Unknown
SANM,Technology
SAPE,Unknown
SB,Industrials
SBAC,Real Estate
SBL,Unknown
SBNY,Financial Services
SBUX,Consumer Cyclical
SCG,Unknown
SCHW,Financial Services
SCI,Consumer Cyclical
SDS,Unknown
SE,Consumer Cyclical
SEBL,Unknown
SEDG,Technology
SEE,Consumer Cyclical
SEG,Real Estate
SFA,Unknown
SFS,Unknown
SGID,Unknown
SGP,Unknown
SHLD,Unknown
SHN,Unknown
SHW,Basic Materials
SIAL,Unknown
SIG,Consumer Cyclical
SII,Financial Services
SIVB,Unknown
SJM,Consumer Defensive
SK,Unknown
SLB,Energy
SLG,Real Estate
SLM,Financial Services
SLR,Unknown
SMCI,Technology
SMI,Unknown
SMS,Unknown
SNA,Industrials
SNDK,Unknown
SNI,Unknown
SNPS,Technology
SNT,Industrials
SNV,Financial Services
SO,Utilities
SOLV,Healthcare
SOTR,Unknown
SOV,Unknown
SPG,Real Estate
SPGI,Financial Services
SPLS,Unknown
SRCL,Industrials
SRE,Utilities
SRR,Unknown
SSP,Communication Services
STE,Healthcare
STI,Industrials
STJ,Unknown
STLD,Basic Materials
STO,Unknown
STR,Energy
STT,Financial Services
STX,Technology
STZ,Consumer Defensive
SUB,Unknown
SUN,Energy
SUNEQ,Unknown
SVU,Unknown
SW,Consumer Cyclical
SWK,Industrials
SWKS,Technology
SWN,Unknown
SWY,Unknown
SXCL,Unknown
SYF,Financial Services
SYK,Healthcare
SYMC,Unknown
SYY,Consumer Defensive
T,Communication Services
TA,Unknown
TAP,Consumer Defensive
TCOMA,Unknown
TDC,Technology
TDG,Industrials
TDM,Unknown
TDY,Technology
TE,Industrials
TECH,Healthcare
TEG,Unknown
TEK,Unknown
TEL,Technology
TEN,Energy
TER,Technology
TEX,Industrials
TFC,Financial Services
TFX,Healthcare
TGNA,Communication Services
TGT,Consumer Defensive
THC,Healthcare
THY,Unknown
TIE,Unknown
TIF,Unknown
TIN,Unknown
TJX,Consumer Cyclical
TKR,Industrials
TLAB,Unknown
TMC,Basic Materials
TMC.A,Unknown
TMK,Unknown
TMO,Healthcare
TMUS,Communication Services
TNB,Unknown
TOS,Unknown
TOY,Unknown
TPL,Energy
TPR,Consumer Cyclical
TRB,Unknown
TRGP,Energy
TRIP,Consumer Cyclical
TRMB,Technology
TROW,Financial Services
TRV,Financial Services
TRW,Unknown
TSCO,Consumer Cyclical
TSG,Unknown
TSLA,Consumer Cyclical
TSN,Consumer Defensive
TSS,Unknown
TT,Industrials
TTWO,Communication Services
TUP,Unknown
TWC,Unknown
TWTR,Unknown
TWX,Unknown
TX,Basic Materials
TXN,Technology
TXT,Industrials
TXU,Unknown
TYL,Technology
UA,Consumer Cyclical
UAA,Consumer Cyclical
UAL,Industrials
UAWGQ,Unknown
UBER,Technology
UCC,Unknown
UCL,Communication Services
UCM,Unknown
UDR,Real Estate
UHS,Healthcare
UIS,Technology
UK,Real Estate
ULTA,Consumer Cyclical
UMG,Unknown
UN,Unknown
UNH,Healthcare
UNM,Financial Services
UNP,Industrials
UPC,Healthcare
UPR,Unknown
UPS,Industrials
URBN,Consumer Cyclical
URI,Industrials
USB,Financial Services
USBC,Basic Materials
USH,Unknown
USHC,Unknown
USS,Unknown
UST,Unknown
USW,Unknown
UTX,Unknown
UVN,Unknown
V,Financial Services
VAR,Unknown
VAT,Unknown
VFC,Consumer Cyclical
VIAB,Unknown
VIAC,Unknown
VIAV,Technology
VICI,Real Estate
VLO,Energy
VLTO,Industrials
VMC,Basic Materials
VNO,Real Estate
VNT,Technology
VO,Unknown
VRSK,Industrials
VRSN,Technology
VRTS,Financial Services
VRTX,Healthcare
VST,Utilities
VSTNQ,Unknown
VTR,Real Estate
VTRS,Healthcare
VTSS,Unknown
VZ,Communication Services
WAB,Industrials
WAI,Financial Services
WAMUQ,Unknown
WAT,Healthcare
WB,Communication Services
WBA,Healthcare
WBD,Communication Services
WCG,Unknown
WCOEQ,Unknown
WDAY,Technology
WDC,Technology
WEC,Utilities
WELL,Real Estate
WEN,Consumer Cyclical
WFC,Financial Services
WFM,Unknown
WFT,Unknown
WHR,Consumer Cyclical
WIN,Unknown
WLA,Unknown
WLL,Unknown
WLP,Unknown
WLTW,Unknown
WM,Industrials
WMB,Energy
WMT,Consumer Defensive
WMX,Unknown
WNDXQ,Unknown
WOR,Industrials
WPX,Unknown
WRB,Financial Services
WRK,Unknown
WST,Healthcare
WTW,Financial Services
WU,Financial Services
WWY,Unknown
WY,Real Estate
WYE,Unknown
WYND,Unknown
WYNN,Consumer Cyclical
X,Basic Materials
XEC,Unknown
XEL,Utilities
XL,Unknown
XLNX,Unknown
XOM,Energy
XRAY,Healthcare
XRX,Technology
XTO,Unknown
XYL,Industrials
YNR,Unknown
YRCW,Unknown
YUM,Consumer Cyclical
ZBH,Healthcare
ZBRA,Technology
ZION,Financial Services
ZTS,Healthcare
